store_name,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Monthly_Avg,YTD_2025
Rocket #6503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.24,108.89,254.56,283.04,239.35,202.42,885.84
Rocket #6504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53,119.65,56.05,51.26,115.55,72.61,342.51
Rocket #6505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,8.48,30.26,184.79,61.54,58.31,285.07
Rocket #6506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.31,33.39,73.93,46.54,139.63
Rocket #6507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.96,12.98,14.37,35.5,44.93,24.75,107.78
Rocket #6508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,0.0,0.0,2.06,6.18
Rocket #6509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.84,35.1,13.17,0.0,37.81,28.38,86.08
Rocket #651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,0.0,10.76,5.48,16.44
Rocket #6510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.68,176.35,156.23,49.33,23.14,89.55,405.05
Rocket #6514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.21,11.07,151.56,87.77,91.4,365.61
Rocket #6515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.45,118.47,24.64,53.02,3.39,45.39,199.52
Rocket #6516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.86,0.0,26.04,12.26,30.29,121.16
Rocket #6517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16,2.99,31.06,44.77,83.51,35.1,162.33
Rocket #6519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,28.02,26.82,10.29,32.53,130.13
Rocket #652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96,0.0,6.98,13.96
Rocket #6520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.35,195.85,32.74,177.3,124.6,116.77,530.49
Rocket #6521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11,11.07,58.3,0.0,23.62,94.48
Rocket #6522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.23,220.93,96.39,79.96,112.52,109.01,509.8
Rocket #6523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16,34.53,30.51,347.76,186.56,123.5,599.36
Rocket #6524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.53,38.09,29.5,0.0,21.78,87.12
Rocket #6525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11,284.3,313.76,115.65,76.38,178.04,790.09
Rocket #6526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.65,64.81,33.49,100.05,22.84,64.37,221.19
Rocket #6529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,0.0,22.03,0.0,11.64,46.58
Rocket #6530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,67.08,107.39,37.18,7.38,45.6,219.03
Rocket #6531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72,180.37,142.33,193.23,149.68,147.67,665.61
Rocket #6532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57,92.13,118.14,81.26,60.03,79.23,351.56
Rocket #6533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,0.0,159.14,211.0,205.33,119.3,575.47
Rocket #6534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44,196.98,129.84,259.49,289.88,189.13,876.19
Rocket #6535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55,0.0,22.12,0.0,0.0,8.53,22.12
Rocket #6536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.94,241.48,277.59,288.2,380.71,249.58,1187.98
Rocket #6537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93,43.28,54.36,99.93,88.51,67.0,286.08
Rocket #654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,0.0,4.24,8.48
Rocket #6540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.37,140.84,121.54,354.78,159.42,169.39,776.58
Rocket #6543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95,121.09,166.82,115.89,27.41,95.43,431.21
Rocket #6544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82,89.53,87.18,120.08,78.46,80.41,375.25
Rocket #6545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.66,144.81,91.54,179.82,177.07,139.78,593.24
Rocket #6546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.27,113.87,230.56,127.49,63.77,114.39,535.69
Rocket #6548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,66.47,175.93,157.68,127.19,113.53,527.27
Rocket #6549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.85,17.62,50.06,58.71,21.0,39.05,147.39
Rocket #655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.06,5.68,0.0,0.0,4.69,18.74
Rocket #6550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.06,0.0,0.0,4.35,13.06
Rocket #6551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.54,237.73,213.31,165.28,122.34,153.44,738.66
Rocket #6552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.89,85.53,165.4,55.94,92.82,85.32,399.69
Rocket #656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.95,2.69,23.12,0.0,0.0,13.15,25.81
Rocket #657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.48,83.95,92.45,82.07,103.21,94.83,361.68
Rocket #658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.49,25.43,8.67,8.78,24.34,23.74,67.22
Rocket #659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.11,0.0,15.05,30.11
Rocket #660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,0.0,5.99,0.0,5.99,23.97
Rocket #661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,8.37,0.0,20.32,22.54,14.29,51.23
Rocket #662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,2.79,0.0,0.0,1.26,2.79
Rocket #663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15,28.51,0.0,16.55,49.66
Rocket #664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,14.85,0.0,21.43,11.61,46.45
Rocket #665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.68,120.53,56.24,242.54,122.04,115.81,541.35
Rocket #6655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.11,731.45,389.81,736.47,582.79,546.73,2440.52
Rocket #6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,359.23,93.22,157.1,471.29
Rocket #666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.73,42.86,14.76,5.98,16.94,21.25,80.54
Rocket #667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55,0.0,24.05,21.44,16.51,66.04
Rocket #669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,256.76,253.7,215.89,179.59,193.57,905.94
Rocket #670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.74,257.11,360.28,500.08,413.4,310.72,1530.87
Rocket #672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.7,339.18,273.29,354.82,186.47,270.09,1153.76
Rocket #673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.03,23.92,5.98,0.0,20.98,83.93
Rocket #674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.76,275.88,306.42,316.06,158.35,213.89,1056.71
Rocket #676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.82,195.13,313.16,269.78,319.47,1277.89
Rocket #677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.42,644.62,675.46,682.24,650.65,585.88,2652.97
Rocket #678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,40.08,23.62,11.66,8.18,17.19,83.54
Rocket #679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.69,171.95,323.56,207.2,187.12,185.9,889.83
Rocket #680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.64,0.0,29.93,43.29,29.71,118.86
